"group","step","threshold","reconstruction","completion_acc","completion_ppl","actual_latent_per_byte","soft_latent_per_byte","chunks_per_byte"
"p4_b_other_memory_only","12000","0.7","0.5531158447265625","0.11472025560215116","50.23145524971545","0.11895751953125","0.4282493982464075","0.063201904296875"
"p4_b_other_memory_only","15000","0.3","0.9830169677734375","0.1311170980334282","37.35671436825626","0.9797821044921875","0.5779832005500793","0.062652587890625"
"p4_b_other_memory_only","15000","0.4","0.9828643798828125","0.1313181407749653","37.2818910111684","0.8562164306640625","0.5779832005500793","0.062652587890625"
"p4_b_other_memory_only","15000","0.5","0.9783477783203125","0.13125939713791013","36.92184097355701","0.65545654296875","0.5779832005500793","0.062652587890625"
"p4_b_other_memory_only","15000","0.6","0.9229583740234375","0.13111530989408493","36.751972011588194","0.40789794921875","0.5779832005500793","0.062652587890625"
"p4_b_other_memory_only","15000","0.7","0.66412353515625","0.12844891706481576","39.674803786179105","0.19622802734375","0.5779832005500793","0.062652587890625"
"p4_b_other_memory_only","18000","0.3","0.9786834716796875","0.13480556849390268","35.93053722574247","0.94366455078125","0.5577268712222576","0.062774658203125"
"p4_b_other_memory_only","18000","0.4","0.975860595703125","0.13610592763870955","35.4866897590298","0.8291015625","0.5577268712222576","0.062774658203125"
"p4_b_other_memory_only","18000","0.5","0.965057373046875","0.13733197888359427","34.980555311197804","0.658538818359375","0.5577268712222576","0.062774658203125"
"p4_b_other_memory_only","18000","0.6","0.898834228515625","0.13728963676840067","35.98069001298637","0.3647308349609375","0.5577268712222576","0.062774658203125"
"p4_b_other_memory_only","18000","0.7","0.600738525390625","0.12929465458728373","38.5010490578249","0.1256256103515625","0.5577268712222576","0.062774658203125"
"p4_b_other_memory_only","20000","0.3","0.9837188720703125","0.13472736161202192","36.524082107420135","0.918701171875","0.5326069481670856","0.0625457763671875"
"p4_b_other_memory_only","20000","0.4","0.979522705078125","0.13603534596040845","35.59073233314056","0.780364990234375","0.5326069481670856","0.0625457763671875"
"p4_b_other_memory_only","20000","0.5","0.9652252197265625","0.13718224968761206","35.35632746939376","0.580169677734375","0.5326069481670856","0.0625457763671875"
"p4_b_other_memory_only","20000","0.6","0.8655548095703125","0.13595656119287014","35.79574398840437","0.2944488525390625","0.5326069481670856","0.0625457763671875"
